source_id,tradition,school,work,approximate_historical_period,original_language,edition,translator,translation_year,translation_type,digital_source,licensing_redistribution_status,target_control_role,scholarly_quality,reason_for_inclusion,availability_status
upa_olivelle1998,Upanisadic/Vedanta,Vedanta,Early Upanisads (selection),c. 800-200 BCE (uncertain),Sanskrit,Olivelle 1998,Patrick Olivelle,1998,recent_scholarly,bibliographic pointer,copyrighted_pointer_only,target,high,Core Upanisadic ontology/manifestation themes,pointer
upa_radhakrishnan1953,Upanisadic/Vedanta,Vedanta,Principal Upanisads,c. 800-200 BCE,Sanskrit,Radhakrishnan 1953,S. Radhakrishnan,1953,older_scholarly,bibliographic pointer,copyrighted_pointer_only,target,medium-high,Translation-era contrast vs Olivelle,pointer
vs_prashastapada,Vaisesika/Nyaya,Vaisesika,Padarthadharmasangraha / related,c. 5th-6th c. CE (approx),Sanskrit,TBD critical edition,TBD,,unspecified,TBD open/public-domain editions preferred,audit_required,target,high_when_critical_edition_used,"Atomism, substance, qualities, motion",pending_acquisition
sk_karika,Samkhya,Samkhya,Samkhyakarika,c. 350-450 CE (approx),Sanskrit,TBD,TBD,,unspecified,TBD,audit_required,target,high,Prakrti transformation/emergence,pending_acquisition
ys_patanjali,Yoga,Yoga,Yogasutra (+ selected bhasya),early centuries CE (debated),Sanskrit,TBD,TBD,,unspecified,TBD,audit_required,target,high,Observer/cognition; prana-related material careful,pending_acquisition
spanda_karikas,Saiva/Spanda,Kashmir Shaivism,Spandakarika (selected),c. 9th c. CE,Sanskrit,TBD,TBD,,unspecified,TBD,audit_required,target,high,Sakti/spanda dynamical metaphors — Level II vs III test,pending_acquisition
buddhist_abhidharma,Buddhist,Abhidharma,Selected Abhidharma passages on dharmas,early centuries CE,Sanskrit/Pali,TBD,TBD,,unspecified,TBD,audit_required,control,high,Indian philosophical control,pending_acquisition
jain_tattvartha,Jain,Jain,Tattvarthasutra (matter chapters),c. 2nd-5th c. CE (debated),Sanskrit,TBD,TBD,,unspecified,TBD,audit_required,control,high,Jain atomism/matter control,pending_acquisition
greek_lucretius_drn,Greek/Roman,Atomism,De Rerum Natura (selected),1st c. BCE,Latin,public-domain translations preferred,e.g. Munro/Bailey PD editions,19th c. PD candidates,older_scholarly,Project Gutenberg / Perseus candidates,public_domain_candidate,control,medium-high (edition-dependent),Classical atomism control,candidate_pd
greek_plato_timaeus,Greek,Platonism,Timaeus (selected cosmological),4th c. BCE,Greek,Perseus / PD translations,various PD,,older_scholarly,Perseus Digital Library,public_domain_candidate,control,high,Greek metaphysical/cosmological control,candidate_pd
chinese_zhuangzi,Chinese,Daoist,Zhuangzi (selected),Warring States-Han layers,Classical Chinese,TBD scholarly,TBD,,unspecified,TBD; Ctext PD layers possible,audit_required,control,high_when_critical,Process/unity/transformation control,pending_acquisition
sanskrit_kavya_neg,Sanskrit_negative,literary,Non-cosmological kavya excerpts,classical,Sanskrit,PD poetic texts,PD where available,,literal,GRETIL/PD candidates,public_domain_candidate,negative_control,medium,Language artifact control,candidate_pd
synth_physics_ref,modern_physics,reference,Synthetic physics validation set,2026,English,RISHI-Q synthetic,n/a,2026,physics_reference,corpus/development/synthetic_passages.parquet,synthetic_mit_repo,physics_reference,instrument_validation_only,Positive/negative instrument controls,available
