rule_id,rule
R01,Everything is one does NOT imply entanglement (Q06).
R02,Interconnected does NOT imply nonlocality.
R03,Vibration does NOT imply QFT.
R04,Prana does NOT automatically mean physical energy.
R05,Akasa does NOT automatically mean a physical/quantum field.
R06,Sakti does NOT automatically mean physics energy.
R07,Anu does NOT automatically mean elementary particle.
R08,Observer importance does NOT imply quantum measurement.
R09,Epistemic uncertainty does NOT imply quantum indeterminacy.
R10,Invisible does NOT imply quantum.
R11,"When ambiguous, prefer NA/U over 1."
R12,Positive labels require exact evidence spans.
